Path,Transcript,Intended Words,Produced Words,IPA,Error Category,Error Labels,IPA_Transcript,Child
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798231_ngram_segment_1.wav,Pat,Pat,,,Correct,[],pæt,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798231_ngram_segment_2.wav,Pat Pat,Pat,,,Disfluency Error,['Word Repetition'],pæt pæt,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798231_ngram_segment_3.wav,Pat Pat had,had,,,Correct,[],pæt pæt hˈæd,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798231_ngram_segment_4.wav,Pat had a,a,,,Correct,[],pæt hˈæd ʌ,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798231_ngram_segment_5.wav,had a pen,pan,pen,pɛn,Mixed Error+Phonological+Orthographic Sub.,"['Vowel Substitution', 'Phonological']",hˈæd ʌ pɛn,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798232_ngram_segment_1.wav,pet,Pat,pet,pɛt,Mixed Error+Orthographic Sub.+Phonological,"['Phonological', 'Vowel Substitution']",pɛt,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798232_ngram_segment_2.wav,pet and,and,,,Correct,[],pɛt ʌnd,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798232_ngram_segment_3.wav,pet and the,the,,,Correct,[],pɛt ʌnd ðɪ,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798232_ngram_segment_4.wav,and the in,and,in,ɪn,Mixed Error+Phonological+Disfluency Error,"['Vowel Substitution', 'Consonant Omission', 'Word Repetition']",ʌnd ðɪ ɪn,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798232_ngram_segment_5.wav,the in the,the,the,,Mixed Error+Run-on Word+Disfluency Error,['Word Repetition'],ðɪ ɪn ðɪ,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798232_ngram_segment_6.wav,in the pan,pan,,,Correct,[],ɪn ðɪ pæn,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798232_ngram_segment_7.wav,the pan sat,sat,,,Correct,[],ðɪ pæn sæt,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798233_ngram_segment_1.wav,Pat,Pat,,,Correct,[],pæt,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798233_ngram_segment_2.wav,Pat and,and,,,Correct,[],pæt ʌnd,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798233_ngram_segment_3.wav,Pat and the,the,,,Correct,[],pæt ʌnd ðɪ,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798233_ngram_segment_4.wav,and the pan,pan,,,Correct,[],ʌnd ðɪ pæn,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798233_ngram_segment_5.wav,the pan fit,fit,,,Correct,[],ðɪ pæn fɪt,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798234_ngram_segment_1.wav,p|æt,Pat,,p|æt,Disfluency Error,"['Repair', 'Broken Word']",p|æt,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798234_ngram_segment_2.wav,p|æt Pat,Pat,,,Correct,[],p|æt pæt,TzE1wYChYkTUAVNeVtZjXuO8cBi2
processed_audio/annotated_word_segments_ngram/uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705_195798234_ngram_segment_3.wav,p|æt Pat tapped,tapped,,,Disfluency Error,['Parental Aid'],p|æt pæt tæpt,TzE1wYChYkTUAVNeVtZjXuO8cBi2
